"Vars","Estimate","stdError","p"
"Intercept","143.519",92.471,"0.122"
"drivingMinus8","-18.3",4.385,"<0.001 *"
"walkingMinus8","17.476",3.338,"<0.001 *"
"transitMinus8","2.056",2.529,"0.417"
"anomalousWeekend","-73.533",219.333,"0.738"
"longWeekend","-66.107",109.976,"0.548"
"weekend","-89.895",57.675,"0.12"
"casesTminus1","0.5",0.058,"<0.001 *"
"casesTminus2","0.41",0.059,"<0.001 *"
"R2 Adjusted Training","0.806",NA,NA
"R2 Test","0.007",NA,NA
"RMSE Train","382.463",NA,NA
"RMSE Test","678.619",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.526",NA,NA
