"Vars","Estimate","stdError","p"
"Intercept","17.339",12.492,"0.166"
"drivingMinus8","-0.318",0.583,"0.586"
"walkingMinus8","0.889",0.483,"0.067"
"transitMinus8","-1.538",1.254,"0.221"
"drivingMinus9","-0.507",0.602,"0.4"
"walkingMinus9","-0.142",0.521,"0.785"
"transitMinus9","1.097",1.24,"0.377"
"anomalousWeekend","-5.562",27.935,"0.842"
"longWeekend","8.003",12.758,"0.531"
"weekend","-29.482",7.803,"<0.001 *"
"casesTminus1","0.631",0.063,"<0.001 *"
"casesTminus2","0.24",0.063,"<0.001 *"
"R2 Adjusted Training","0.909",NA,NA
"R2 Test","0.318",NA,NA
"RMSE Train","48.464",NA,NA
"RMSE Test","40.87",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.142",NA,NA
